,GSM107412,GSM107413,GSM107414,GSM107415,GSM107416,GSM107417,GSM107418,GSM107419,GSM107420,GSM107421,GSM107422,GSM107423,GSM107424,GSM107425,GSM107426,GSM107427,GSM107428,GSM107429,GSM107430,GSM107431,GSM107432,GSM107433,GSM107434,GSM107435
Ywhag,6787.5,6071.8,6602.1,7649.4,6690.1,6464.4,3444.7,5969,4242.8,6870.4,5573.8,5596.4,5435.2,4827.6,4669.7,6640.3,6757.7,5867.6,6602.9,5752.1,5153.1,6261.1,5744.5,7315.8
Ywhah,17017.75,16998.8,17512.55,16591.05,14359.7,15980.9,15442.95,13814.6,19864.1,18848.6,24943.7,18238.25,13994.3,19784.85,18183.35,15438.4,19113.05,17797.4,15546.65,16985.95,11935.15,12088.15,14719.3,11909.15
Ywhaq,2326.73333333333,2658.5,2820.86666666667,2596.5,2073.43333333333,2377.73333333333,2377.36666666667,2203.93333333333,2156.56666666667,2462.93333333333,2688.2,2412.3,2077.46666666667,1923.7,2334.26666666667,2114.3,1931.36666666667,1897.73333333333,1250.1,1757.2,1703.9,1921.73333333333,2308.43333333333,1913.6
Ywhaz,5150.96666666667,6342.73333333333,4812.9,5110.53333333333,4882.1,4836.9,4321.76666666667,4804.06666666667,3285.8,4325.8,3782.9,4806.96666666667,3957.46666666667,3241,3303.9,3769.53333333333,3359.5,3508.13333333333,4066.7,3285.26666666667,2965.8,3227.6,4454.76666666667,3225.66666666667
Zadh2,1156.3,1273.6,834.5,1121.2,1461.1,1268.3,1025.2,1052.3,1362.8,1296.9,949.3,1147.3,1197.9,1205.7,937.4,1476.1,1189,978.4,1146.9,1219.9,750.7,671,862.7,766.8
Zbtb24,136.9,114.4,381.7,348.9,153.3,357.9,325.6,416.9,100.6,198.4,138.1,113.2,85.6,67.2,63.8,75.8,196.8,172.9,118.5,96.7,103.5,463.4,144.8,303.4
Zbtb38,329.6,432.7,583.8,375,408.9,400.6,450.5,365.6,291.1,343.9,629.8,371.2,687.2,329.3,462.2,402.8,370.9,347.3,443.3,265,294.7,308.7,355,292.8
Zc3h4,1483.3,1462.6,1773.75,982.85,1719.1,938.2,1468.1,1381.65,1451.85,1721.1,1899.2,1873.85,1650.6,1061.3,1211.8,1885.65,1661.8,1496.95,1531.25,1402.35,2000.4,1630.45,1519.6,1704.6
Zc3hc1,468,503.7,520.5,369.8,389.6,440.6,329.8,393.3,424.1,452.5,553.5,608.6,562.6,524.8,539.8,576.4,535,473.5,497.4,468.3,701.7,621,612.2,543.7
Zcchc8,429.5,397.8,417.2,384.2,383.4,448.4,509.5,475.9,316.7,301.3,430.5,419.9,370.6,382.2,421,391.4,307.7,425.7,447.6,371,657,401.2,402.9,533.2
Zdhhc3,929.8,956.3,1094.4,1095.3,980.5,660.3,894.6,914.5,1227.2,933.7,1110.7,1082.5,1249,1077.8,839.4,1104,1099.3,994.6,1001.4,1228.1,1052,766.6,691.6,913.1
Zdhhc5,2268.9,1931.8,2394.6,1644.6,1674.7,1452.1,1342.8,1371.9,2541.5,2177.7,2465.2,1525.9,1857.1,1736.3,1644,1358.1,1768.7,2227.6,1778.4,1690.3,1898.5,1713,2388.8,2565.1
Zeb1,695,532.7,580.55,656.35,469,496.65,487.25,533.7,466.15,494.7,383.65,525.65,519.7,369.95,566.2,563.3,638.5,533.05,628.2,658.25,555.35,512.3,494.65,517.75
Zfand6,7509.8,7205.4,9083,7357.5,6772.6,7038.1,7504.8,7261.9,6409.2,8086.6,11873.5,9053.8,7663,8582.7,10198.2,9011.4,6674.2,6508.1,6342.5,5998,5211.9,7075.6,5727.2,6598.7
Zfp111,311,290.4,244.9,352.7,200.4,345.1,373.2,357.2,366.9,291.6,356.2,269.5,330.5,280,356.8,339.3,474.2,259.8,387.9,339.5,245.6,322,421.3,239.7
Zfp148,1415.7,1109.8,1378.8,1351,1539.4,1438.6,2004.8,1510.1,1388.6,1647.5,1390.1,1177.1,1685.3,1501.7,1904.7,1520,1330.9,1174.2,1245.6,1243.8,1170.5,1422.4,1228.4,1385.6
Zfp180,670.1,555.7,649.7,580.2,746.4,580.2,529.2,663.6,576.7,656.1,516.5,687.3,619.4,551.9,758,762.7,685.6,768,720.4,854.6,640.9,721,756.5,614.2
Zfp260,373.5,528.7,377,370.3,522.4,353.4,364.2,388.1,276.4,367.2,306.3,272.6,341.1,321.6,378.5,370.7,291.8,385.1,493,270,338.8,314.8,412.9,284.3
Zfp280d,184,184.4,185.9,215.6,274.1,225.6,160,183.8,199,181.2,281.1,235.7,173.6,107.9,251.4,207.9,68.2,55.3,145.7,132.2,68.2,115,185.2,163.3
Zfp292,162.8,227.2,160.3,226.6,130.2,54.1,201.9,155.9,54.8,174.6,189,240.7,210,72.8,271.4,163,44.7,38.8,193.1,121.3,48.3,57.2,199.4,156.3
Zfp326,440.8,513.4,538.1,522.5,536.9,747.8,761.8,703.8,454.8,437,1012.3,552.3,542.2,368.5,1033.2,464.4,428,400.4,420.8,420,417.3,476,406.7,333.5
Zfp354a,255.4,92.4,139.6,159.8,121,121.9,243.7,196.2,140.5,140.6,158.3,225,181.3,151.9,265.9,236.4,192.9,175.4,96.3,93,242.9,210.2,159.6,176.6
Zfp36,5129.5,1927.45,1617.25,1984.9,2411.95,2225.15,4008.85,2606.9,1981.85,1927.95,2157.9,4729.1,2278.9,8691.35,1300.3,1453.9,2640,2389.8,3931.5,4842.6,2240,2242.5,3176.25,3774.5
Zfp36l1,5913.2,5360.5,3793.65,5992.3,7042.6,5036.2,6824.6,7478.9,4614.9,5044.3,8258.1,7253.3,5835.05,7570.25,7478.25,7001.6,7319.15,5257.4,7095.95,7698.6,4276.6,6605.25,8962.25,6893.45
Zfp37,115.2,173.9,156.6,178.8,393.6,35.5,120.9,213.6,355.7,112.9,250.3,175.1,127.7,211.2,305.7,232.5,164,175,91.7,26.7,181,213.3,252.9,230
Zfp382,15.4,104.9,20.1,26.6,132.9,9,27.5,8.8,81.1,8.8,13.9,25.9,78.6,21.4,49.2,58.9,22.5,141.8,30.1,78.2,69.8,58.2,108.2,21.2
Zfp386,1565.7,1045.7,1696.5,1518.7,1216.8,1530.1,1681.9,1397.2,1189.9,1277.2,1481,1313.9,1284,1158.9,1632.9,1519.6,890,894.5,958.1,974.1,598.2,1048.9,794.1,1191.7
Zfp394,2347.7,2703.3,1814.9,2337.1,2247.6,1869.9,2372.9,1827.1,2996.9,3623.9,2046,2218.8,2161.7,2949.9,1331.2,2375.4,2773.8,2931.5,2826.9,3144.6,2647.6,2556.5,2432,2406.7
