"","MM_MEblack","MM_MEblue","MM_MEbrown","MM_MEpink","MM_MEred","MM_MEyellow","MM_MEgreen","MM_MEturquoise","MM_MEgrey"
"ENSA",-0.673913043478261,-0.533913043478261,-0.647826086956522,-0.634782608695652,-0.758260869565217,0.13304347826087,0.330434782608696,0.839130434782609,0.716521739130435
"ENTPD1",-0.28,-0.487826086956522,-0.331304347826087,0.0539130434782609,-0.32,0.616521739130435,-0.0591304347826087,0.250434782608696,0.422608695652174
"ENTPD2",0.04,-0.0660869565217391,0.366086956521739,0.897391304347826,0.544347826086956,0.561739130434783,-0.530434782608696,-0.463478260869565,-0.366086956521739
"ENTPD3",0.430434782608696,0.394782608695652,0.635652173913043,0.510434782608696,0.646086956521739,-0.231304347826087,-0.449565217391304,-0.66695652173913,-0.691304347826087
"ENTPD4",0.725217391304348,0.813043478260869,0.482608695652174,0.0426086956521739,0.329565217391304,-0.603478260869565,0.142608695652174,-0.613043478260869,-0.630434782608696
"ENTPD5",0.393913043478261,0.466086956521739,-0.101739130434783,-0.0243478260869565,0.276521739130435,-0.519130434782609,0.601739130434782,-0.0956521739130435,-0.0382608695652174
"ENTPD6",0.585217391304348,0.805217391304348,0.705217391304348,0.219130434782609,0.40695652173913,-0.637391304347826,-0.0408695652173913,-0.705217391304348,-0.793043478260869
"ENY2",-0.573043478260869,-0.556521739130435,-0.723478260869565,-0.612173913043478,-0.53304347826087,0.193913043478261,0.333913043478261,0.826086956521739,0.763478260869565
"EOGT",0.690434782608696,0.38,0.226086956521739,0.0539130434782609,0.294782608695652,-0.188695652173913,-0.0408695652173913,-0.465217391304348,-0.332173913043478
"EP400",0.76695652173913,0.550434782608695,0.258260869565217,0.25304347826087,0.465217391304348,-0.234782608695652,-0.0226086956521739,-0.636521739130435,-0.458260869565217
"EPAS1",-0.270434782608696,-0.509565217391304,-0.36,-0.21304347826087,-0.468695652173913,0.392173913043478,0.00521739130434783,0.305217391304348,0.517391304347826
"EPB41L3",0.295652173913043,0.58695652173913,0.0747826086956522,-0.0982608695652174,0.24695652173913,-0.681739130434783,0.465217391304348,-0.068695652173913,-0.2
"EPB41L4A",0.233913043478261,0.337391304347826,0.357391304347826,0.240869565217391,0.389565217391304,-0.29304347826087,0.0391304347826087,-0.27304347826087,-0.385217391304348
"EPC2",-0.495652173913043,-0.486086956521739,-0.688695652173913,-0.493913043478261,-0.406086956521739,0.136521739130435,0.396521739130435,0.752173913043478,0.705217391304348
"EPHA10",0.421739130434783,0.441739130434783,0.705217391304348,0.492173913043478,0.500869565217391,-0.1,-0.522608695652174,-0.676521739130435,-0.653043478260869
"EPHA3",0.635652173913043,0.764347826086957,0.185217391304348,-0.157391304347826,0.32695652173913,-0.686086956521739,0.412173913043478,-0.353913043478261,-0.36695652173913
"EPHA4",0.752173913043478,0.913913043478261,0.449565217391304,0.151304347826087,0.654782608695652,-0.686086956521739,0.277391304347826,-0.522608695652174,-0.626086956521739
"EPHA5",0.478260869565217,0.594782608695652,0.377391304347826,0.293913043478261,0.766086956521739,-0.419130434782609,0.119130434782609,-0.406086956521739,-0.477391304347826
"EPHA7",0.515652173913043,0.691304347826087,0.288695652173913,-0.0173913043478261,0.511304347826087,-0.598260869565217,0.208695652173913,-0.358260869565217,-0.463478260869565
"EPHB1",0.231304347826087,0.313913043478261,0.373913043478261,0.671304347826087,0.723478260869565,-0.1,-0.0443478260869565,-0.376521739130435,-0.384347826086956
"EPHB2",0.406086956521739,0.634782608695652,0.657391304347826,0.377391304347826,0.717391304347826,-0.413043478260869,-0.171304347826087,-0.613043478260869,-0.68695652173913
"EPHB3",0.266086956521739,0.383478260869565,0.842608695652174,0.538260869565217,0.489565217391304,-0.200869565217391,-0.537391304347826,-0.683478260869565,-0.745217391304348
"EPHB6",0.666086956521739,0.74,0.738260869565217,0.421739130434783,0.489565217391304,-0.436521739130435,-0.155652173913043,-0.823478260869565,-0.807826086956522
"EPHX1",0.362608695652174,0.505217391304348,0.555652173913043,0.544347826086956,0.615652173913043,-0.338260869565217,-0.0678260869565217,-0.509565217391304,-0.603478260869565
"EPHX4",-0.318260869565217,-0.185217391304348,-0.453913043478261,-0.446086956521739,-0.288695652173913,-0.156521739130435,0.394782608695652,0.445217391304348,0.408695652173913
"EPM2A",0.27304347826087,0.364347826086956,0,-0.0669565217391304,0.26695652173913,-0.430434782608696,0.445217391304348,-0.0634782608695652,-0.0695652173913043
"EPM2AIP1",0.414782608695652,0.38695652173913,-0.16,-0.168695652173913,0.128695652173913,-0.438260869565217,0.535652173913043,-0.0826086956521739,-0.000869565217391304
"EPN1",-0.721739130434783,-0.526086956521739,-0.339130434782609,-0.233913043478261,-0.453913043478261,0.227826086956522,0.0721739130434783,0.587826086956522,0.550434782608695
"EPS15",0.301739130434783,0.241739130434783,-0.305217391304348,-0.0217391304347826,0.0652173913043478,-0.207826086956522,0.552173913043478,0.0860869565217391,0.131304347826087
"EPS15L1",-0.419130434782609,-0.44,-0.466086956521739,-0.48,-0.742608695652174,0.196521739130435,0.184347826086956,0.586086956521739,0.613043478260869
"EPS8L2",0.0843478260869565,0.186086956521739,0.248695652173913,0.04,0.152173913043478,-0.345217391304348,0.0704347826086957,-0.159130434782609,-0.234782608695652
"ERAL1",0.346086956521739,0.492173913043478,0.537391304347826,0.31304347826087,0.313913043478261,-0.208695652173913,-0.0947826086956522,-0.440869565217391,-0.537391304347826
"ERAP1",0.228695652173913,-0.141739130434783,-0.0808695652173913,0.233913043478261,0.139130434782609,0.513043478260869,-0.157391304347826,-0.15304347826087,0.0243478260869565
"ERBB3",0.524347826086956,0.334782608695652,0.347826086956522,0.420869565217391,0.713913043478261,-0.0565217391304348,-0.285217391304348,-0.533913043478261,-0.431304347826087
"ERBB4",0.543478260869565,0.532173913043478,-0.191304347826087,-0.144347826086957,0.230434782608696,-0.518260869565217,0.645217391304348,-0.114782608695652,-0.0417391304347826
"ERC1",0.156521739130435,0.133913043478261,-0.613913043478261,-0.391304347826087,-0.26,-0.204347826086957,0.884347826086956,0.31304347826087,0.436521739130435
"ERC2",0.011304347826087,0.0582608695652174,-0.638260869565217,-0.493913043478261,-0.310434782608696,-0.132173913043478,0.853043478260869,0.487826086956522,0.508695652173913
"ERCC1",-0.816521739130435,-0.671304347826087,-0.481739130434783,-0.513913043478261,-0.788695652173913,0.351304347826087,0.0539130434782609,0.736521739130435,0.672173913043478
"ERCC2",0.330434782608696,0.226086956521739,0.794782608695652,0.729565217391304,0.517391304347826,0.143478260869565,-0.792173913043478,-0.797391304347826,-0.736521739130435
"ERCC3",-0.263478260869565,-0.135652173913043,-0.545217391304348,-0.5,-0.505217391304348,0.00434782608695652,0.649565217391304,0.631304347826087,0.554782608695652
"ERCC6",0.457391304347826,0.248695652173913,0.350434782608696,0.111304347826087,0.309565217391304,-0.220869565217391,-0.265217391304348,-0.342608695652174,-0.362608695652174
"ERCC8",0.584347826086956,0.637391304347826,0.540869565217391,0.0530434782608696,0.333043478260869,-0.503478260869565,-0.122608695652174,-0.538260869565217,-0.625217391304348
"ERF",-0.708695652173913,-0.701739130434783,-0.237391304347826,-0.121739130434783,-0.409565217391304,0.583478260869565,-0.303478260869565,0.462608695652174,0.46
"ERG",-0.289565217391304,-0.495652173913043,-0.318260869565217,-0.142608695652174,-0.297391304347826,0.28695652173913,-0.06,0.385217391304348,0.486086956521739
"ERGIC2",0.0921739130434782,0.0834782608695652,-0.246086956521739,-0.50695652173913,-0.377391304347826,-0.193913043478261,0.239130434782609,0.250434782608696,0.256521739130435
"ERGIC3",-0.485217391304348,-0.392173913043478,0.0356521739130435,0.314782608695652,-0.0947826086956522,0.439130434782609,-0.336521739130435,0.0913043478260869,0.0469565217391304
"ERH",-0.605217391304348,-0.684347826086956,-0.666086956521739,-0.526086956521739,-0.72,0.330434782608696,0.0878260869565217,0.746086956521739,0.721739130434783
"ERI1",-0.467826086956522,-0.655652173913043,-0.895652173913043,-0.500869565217391,-0.590434782608696,0.359130434782609,0.418260869565217,0.754782608695652,0.883478260869565
"ERI2",0.365217391304348,0.108695652173913,0.0565217391304348,-0.177391304347826,-0.0739130434782609,-0.166086956521739,-0.00695652173913043,-0.24695652173913,-0.0791304347826087
"ERICH1",-0.643478260869565,-0.397391304347826,-0.559130434782609,-0.488695652173913,-0.454782608695652,0.0339130434782609,0.401739130434783,0.711304347826087,0.604347826086956
"ERLEC1",0.144347826086957,0.293913043478261,-0.0678260869565217,-0.13304347826087,0.264347826086957,-0.416521739130435,0.222608695652174,0.0521739130434783,-0.0278260869565217
"ERLIN1",0.353913043478261,0.395652173913043,0.0652173913043478,-0.14,0.0947826086956522,-0.134782608695652,0.170434782608696,-0.213913043478261,-0.246086956521739
"ERLIN2",-0.149565217391304,-0.415652173913043,-0.457391304347826,-0.0573913043478261,-0.278260869565217,0.399130434782609,0.198260869565217,0.208695652173913,0.406086956521739
"ERMN",0.463478260869565,0.465217391304348,0.04,0.116521739130435,0.673043478260869,-0.48695652173913,0.258260869565217,-0.171304347826087,-0.194782608695652
"ERMP1",0.821739130434783,0.826086956521739,0.174782608695652,0.00521739130434783,0.402608695652174,-0.667826086956522,0.469565217391304,-0.462608695652174,-0.409565217391304
"ERN1",0.182608695652174,0.228695652173913,0.0573913043478261,-0.140869565217391,-0.0365217391304348,-0.242608695652174,0.129565217391304,-0.229565217391304,-0.119130434782609
"ERP29",-0.0182608695652174,0.229565217391304,0.641739130434783,0.585217391304348,0.480869565217391,0.0243478260869565,-0.526086956521739,-0.510434782608696,-0.644347826086957
"ERP44",-0.1,0.0208695652173913,-0.530434782608696,-0.571304347826087,-0.246086956521739,-0.190434782608696,0.54695652173913,0.406086956521739,0.398260869565217
"ESAM",0.1,-0.0678260869565217,0.360869565217391,0.196521739130435,-0.08,0.200869565217391,-0.556521739130435,-0.318260869565217,-0.226086956521739
"ESCO1",-0.183478260869565,-0.411304347826087,-0.617391304347826,-0.449565217391304,-0.260869565217391,0.0860869565217391,0.277391304347826,0.613043478260869,0.653043478260869
"ESD",-0.342608695652174,-0.396521739130435,-0.767826086956522,-0.613913043478261,-0.613913043478261,0.0469565217391304,0.528695652173913,0.778260869565217,0.717391304347826
"ESF1",-0.654782608695652,-0.683478260869565,-0.642608695652174,-0.291304347826087,-0.430434782608696,0.511304347826087,0.185217391304348,0.779130434782609,0.770434782608695
"ESRRA",0.29304347826087,0.40695652173913,0.708695652173913,0.388695652173913,0.244347826086956,-0.269565217391304,-0.343478260869565,-0.614782608695652,-0.668695652173913
"ESRRG",-0.141739130434783,-0.00347826086956522,-0.496521739130435,-0.457391304347826,-0.307826086956522,-0.276521739130435,0.684347826086956,0.360869565217391,0.388695652173913
"ETAA1",-0.420869565217391,-0.539130434782609,-0.496521739130435,0.0747826086956522,-0.217391304347826,0.561739130434783,0.0930434782608696,0.474782608695652,0.555652173913043
"ETF1",-0.504347826086956,-0.618260869565217,-0.833043478260869,-0.409565217391304,-0.548695652173913,0.399130434782609,0.42695652173913,0.812173913043478,0.879130434782609
