"","MM_MEblack","MM_MEred","MM_MEgreen","MM_MEturquoise","MM_MEyellow","MM_MEblue","MM_MEbrown","MM_MEmagenta","MM_MEpink","MM_MEgrey"
"RNPEP",-0.560225140712946,-0.569793621013133,-0.363414634146341,-0.379174484052533,0.201313320825516,0.492307692307692,0.489305816135084,0.582739212007505,0.123452157598499,-0.387429643527204
"ROCK1",0.483677298311445,0.349906191369606,0.55046904315197,0.865478424015009,-0.470731707317073,-0.686303939962476,-0.761538461538461,-0.177673545966229,0.268292682926829,0.172045028142589
"ROCK2",0.287429643527204,0.503564727954972,0.811069418386491,0.735647279549718,-0.337523452157598,-0.848030018761726,-0.408255159474672,-0.172607879924953,-0.167166979362101,0.0180112570356473
"ROS1",-0.220262664165103,-0.129455909943715,0.43921200750469,0.308818011257036,-0.414258911819887,-0.193808630393996,-0.0846153846153846,0.121200750469043,0.142589118198874,0.0833020637898687
"RPA2",0.0784240150093808,0.127204502814259,0.00600375234521576,-0.101125703564728,0.162288930581613,-0.0288930581613508,-0.0455909943714822,-0.275234521575985,-0.0919324577861163,0.0806754221388368
"RPA3",0.176735459662289,-0.0309568480300188,0.661913696060037,0.789118198874296,-0.644652908067542,-0.499812382739212,-0.573170731707317,0.141651031894934,0.423827392120075,-0.0191369606003752
"RPAP2",0.575609756097561,0.254596622889306,0.00544090056285178,0.39249530956848,-0.373733583489681,-0.325703564727955,-0.696810506566604,-0.536022514071295,0.20562851782364,0.645215759849906
"RPL10",0.39812382739212,0.377673545966229,-0.133020637898687,-0.25515947467167,0.548968105065666,-0.0348968105065666,0.272795497185741,-0.243714821763602,-0.306003752345216,-0.158348968105066
"RPL10A",-0.024765478424015,-0.0425891181988743,-0.751031894934334,-0.706941838649156,0.798686679174484,0.623452157598499,0.577298311444653,0.103377110694184,-0.201688555347092,-0.31031894934334
"RPL11",0.113133208255159,0.0519699812382739,-0.718949343339587,-0.701313320825516,0.839587242026266,0.63452157598499,0.418949343339587,-0.0560975609756098,-0.179924953095685,-0.278986866791745
"RPL12",0.221575984990619,0.1093808630394,-0.438461538461538,-0.467542213883677,0.709005628517824,0.339024390243902,0.320450281425891,-0.0579737335834897,-0.180675422138837,-0.311069418386491
"RPL13",0.230956848030019,0.0848030018761726,-0.259662288930582,-0.30187617260788,0.410881801125703,0.117448405253283,0.158348968105066,-0.278799249530957,-0.0954971857410882,-0.0525328330206379
"RPL14",0.422326454033771,0.408630393996248,-0.288367729831144,-0.287992495309568,0.604878048780488,0.0444652908067542,0.107879924953096,-0.298499061913696,-0.409568480300188,-0.0716697936210131
"RPL15",0.374859287054409,0.612570356472795,0.0315196998123827,-0.024202626641651,0.472045028142589,-0.286303939962477,-0.0163227016885553,-0.228330206378987,-0.594746716697936,-0.122701688555347
"RPL17",0.677485928705441,0.40562851782364,-0.177485928705441,0.050656660412758,0.33921200750469,-0.0973733583489681,-0.215009380863039,-0.359099437148218,-0.0050656660412758,0.0165103189493433
"RPL18",-0.0855534709193246,0.0225140712945591,-0.375984990619137,-0.543714821763602,0.825703564727955,0.325515947467167,0.613883677298311,0.220825515947467,-0.367354596622889,-0.631519699812383
"RPL18A",0.121200750469043,0.0395872420262664,-0.806003752345216,-0.643151969981238,0.85046904315197,0.642589118198874,0.386303939962476,0.00938086303939962,-0.133958724202627,-0.315572232645403
"RPL19",0.265478424015009,0.153846153846154,-0.720075046904315,-0.496998123827392,0.788930581613508,0.522889305816135,0.213508442776735,-0.0879924953095685,-0.130956848030019,-0.279549718574109
"RPL21",0.539774859287054,0.277673545966229,-0.384803001876173,-0.114821763602251,0.572795497185741,0.169043151969981,-0.074484052532833,-0.181613508442777,0.0439024390243902,-0.262851782363977
"RPL23",0.89155722326454,0.531519699812383,0.050093808630394,0.34296435272045,0.00956848030018762,-0.318574108818011,-0.58499061913696,-0.540525328330206,0.0823639774859287,0.293996247654784
"RPL23A",0.79249530956848,0.604878048780488,0.170168855534709,0.255534709193246,0.167729831144465,-0.436772983114446,-0.352908067542214,-0.570731707317073,-0.179174484052533,0.202626641651032
"RPL24",0.45703564727955,0.179549718574109,-0.481613508442777,-0.198311444652908,0.448780487804878,0.264165103189493,0.00956848030018762,-0.24859287054409,0.10562851782364,-0.0630393996247655
"RPL26",0.439399624765478,0.306003752345216,-0.44296435272045,-0.271857410881801,0.75703564727955,0.257786116322702,0.136022514071295,-0.14484052532833,-0.115384615384615,-0.352908067542214
"RPL27",0.272420262664165,0.075046904315197,-0.69343339587242,-0.406941838649156,0.728893058161351,0.546904315196998,0.15140712945591,-0.00525328330206379,0.0317073170731707,-0.34390243902439
"RPL28",-0.0613508442776735,-0.0476547842401501,-0.767729831144465,-0.814446529080675,0.855534709193246,0.688930581613508,0.607879924953096,0.00675422138836773,-0.237711069418386,-0.291744840525328
"RPL29",0.0290806754221388,0.00412757973733583,-0.677673545966229,-0.63452157598499,0.835834896810506,0.55234521575985,0.500187617260788,0.112382739212007,-0.199812382739212,-0.401313320825516
"RPL3",0.117073170731707,0.0765478424015009,-0.554971857410882,-0.518574108818011,0.750281425891182,0.459662288930582,0.410506566604128,0.138836772983114,-0.24296435272045,-0.445215759849906
"RPL30",0.805816135084428,0.534333958724203,0.0390243902439024,0.449906191369606,-0.123827392120075,-0.409193245778612,-0.623264540337711,-0.546529080675422,0.0422138836772983,0.478611632270169
"RPL31",0.75140712945591,0.428893058161351,-0.257598499061914,0.0628517823639775,0.269793621013133,-0.0131332082551595,-0.270919324577861,-0.365666041275797,0.024202626641651,0.14108818011257
"RPL32",0.131144465290807,-0.0598499061913696,-0.756660412757974,-0.570168855534709,0.726641651031895,0.652532833020638,0.350844277673546,0.107879924953096,-0.0106941838649156,-0.350093808630394
"RPL35",0.204878048780488,0.129831144465291,-0.581801125703565,-0.447091932457786,0.813320825515947,0.421388367729831,0.30750469043152,0.0557223264540338,-0.147842401500938,-0.471294559099437
"RPL3L",-0.644277673545966,-0.737898686679174,-0.516322701688555,-0.499624765478424,0.157223264540338,0.816697936210131,0.570168855534709,0.608818011257036,0.336210131332082,-0.397373358348968
"RPL4",0.579174484052533,0.411632270168855,-0.25703564727955,-0.049718574108818,0.265853658536585,-0.048968105065666,-0.148405253283302,-0.45234521575985,-0.18780487804878,0.277673545966229
"RPL5",0.898311444652908,0.739962476547842,0.123827392120075,0.339587242026266,0.0624765478424015,-0.471482176360225,-0.592307692307692,-0.744652908067542,-0.159474671669794,0.439587242026266
"RPL6",0.275609756097561,0.130769230769231,-0.579362101313321,-0.491181988742964,0.737523452157598,0.423639774859287,0.226454033771107,-0.121200750469043,-0.149906191369606,-0.233020637898687
"RPL9",0.824202626641651,0.533020637898687,-0.118761726078799,0.207317073170732,0.049155722326454,-0.162851782363977,-0.483489681050657,-0.574108818011257,0.00787992495309568,0.426454033771107
"RPLP0",-0.0485928705440901,-0.0333958724202627,-0.83733583489681,-0.85515947467167,0.822326454033771,0.716322701688555,0.556660412757974,-0.0232645403377111,-0.268292682926829,-0.162288930581613
"RPN1",-0.0969981238273921,-0.315384615384615,-0.195121951219512,-0.225140712945591,0.1,0.254971857410882,0.226454033771107,0.0300187617260788,0.197936210131332,-0.0356472795497186
"RPN2",-0.136960600375234,-0.35422138836773,-0.530956848030019,-0.40656660412758,0.127579737335835,0.466228893058161,0.268480300187617,0.174671669793621,0.113320825515947,0.123076923076923
"RPP21",-0.100375234521576,-0.0290806754221388,-0.473921200750469,-0.502063789868668,0.733771106941839,0.483677298311445,0.38874296435272,0.217636022514071,-0.191744840525328,-0.489868667917448
"RPRD2",0.141463414634146,0.523264540337711,0.649906191369606,0.389868667917448,-0.0298311444652908,-0.693808630393996,-0.00694183864915572,-0.0844277673545966,-0.4953095684803,-0.130206378986867
"RPS11",0.354596622889306,0.0519699812382739,-0.615572232645403,-0.361163227016885,0.58968105065666,0.455909943714822,0.0851782363977486,-0.141838649155722,0.120450281425891,-0.197936210131332
"RPS12",0.316135084427767,0.416135084427767,-0.23921200750469,-0.265853658536585,0.724390243902439,0.0380863039399625,0.181801125703565,-0.0885553470919324,-0.429643527204503,-0.363414634146341
"RPS14",0.2093808630394,0.175422138836773,-0.730206378986867,-0.586303939962476,0.876923076923077,0.520450281425891,0.361163227016885,-0.0596622889305816,-0.227204502814259,-0.284990619136961
"RPS15",-0.0602251407129456,-0.0264540337711069,-0.778611632270169,-0.851219512195122,0.826829268292683,0.683302063789869,0.554409005628518,-0.0292682926829268,-0.294746716697936,-0.203939962476548
"RPS15A",0.536772983114447,0.271106941838649,-0.40562851782364,-0.163602251407129,0.565666041275797,0.171669793621013,0.0296435272045028,-0.181425891181989,-0.0384615384615385,-0.221951219512195
"RPS15AL4",0.673545966228893,0.403939962476548,-0.0913696060037523,0.142776735459662,0.219512195121951,-0.152532833020638,-0.284615384615385,-0.477485928705441,0.0264540337711069,0.0821763602251407
"RPS16",0.270731707317073,0.280300187617261,-0.419512195121951,-0.448217636022514,0.797748592870544,0.309568480300188,0.269606003752345,-0.0166979362101313,-0.363977485928705,-0.39437148217636
"RPS17",0.319699812382739,0.141651031894934,-0.348217636022514,-0.229455909943715,0.640900562851782,0.20093808630394,0.224577861163227,0.0272045028142589,-0.074484052532833,-0.434521575984991
"RPS19",0.175234521575985,0.15046904315197,-0.670356472795497,-0.643151969981238,0.883302063789869,0.481801125703565,0.391369606003752,-0.0472795497185741,-0.313696060037523,-0.314258911819887
