Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
Aldh7a1,-0.0586460572575688,8.87818187948804,-3.99268189179737,0.00025616064045852,0.00506316211747142,-0.129552591837232
Uqcrfs1,-0.0363178619145547,9.48661748065504,-4.13196419321454,0.00016695219910892,0.00390855382026033,-0.134507214406046
Mapk6,-0.0652450550529064,8.79825341028954,-3.96952481314616,0.0002749198651934,0.00528390873884925,-0.137577127727705
Colq,0.150920203016654,8.6553561652524,3.90340902733839,0.00033611073881794,0.00614567445794859,-0.191274321445528
Stmn1,-0.111670973875757,8.77798665400423,-3.94773942420114,0.00029378050442328,0.00549194151925621,-0.191472003054333
Pde4d,0.143396557057503,8.19733684346969,3.77139208208901,0.00050014578490935,0.00840849121609351,-0.193378562265576
Alas1,-0.0732509033090264,9.17576554296808,-4.04417247756425,0.00021879512904072,0.00460617136236752,-0.204401792058312
Mpi,-0.0888823403470859,8.60417672799654,-3.89426366276182,0.00034555106776663,0.00627250307793776,-0.212830983054343
Ehhadh,0.200424970350932,8.11453366598298,3.75009368883643,0.00053300230015312,0.0087840181702867,-0.220776635862461
Homer2,-0.0788790642924602,8.48814068516745,-3.84470446243697,0.00040134557949946,0.00703056417235074,-0.248955374601925
Cd74,-0.137112427993212,9.15029117353406,-4.02365063245754,0.00023300519560939,0.00467048223059744,-0.250839836990306
Gfm1,-0.0581661906932877,9.07592681679396,-3.99199947720335,0.00025669524507739,0.00506316211747142,-0.277722977369579
Mthfd1,-0.0773123759038311,8.59346377998812,-3.86374665207751,0.00037894669379061,0.00673235083649286,-0.290709715261483
Col15a1,-0.151757510769992,8.96390451698419,-3.95348677980153,0.00028868629927838,0.00547847863403296,-0.316088947986989
Cyp2e1,0.441751148339561,8.37754743363614,3.73622426163136,0.00055550761904748,0.0090368691278119,-0.33331393385497
Scp2,-0.0509022983591134,9.0625763411348,-3.94965647507005,0.00029207170025296,0.00549194151925621,-0.390454452538144
Uaca,0.048161504482681,8.9196978828246,3.90465822882007,0.00033484080043919,0.00614567445794859,-0.404132609855189
Myadm,-0.0434580541189968,9.22637548294722,-3.97101985207024,0.00027366952988489,0.00528390873884925,-0.455727913224155
Gadd45a,-0.082346691084424,8.70874240470967,-3.82737576776993,0.00042283787990056,0.00730488889069601,-0.485024315540435
Dlat,-0.0483499779990352,9.30121002307648,-3.97808010373582,0.00026783905218692,0.00524169395100184,-0.487219255863582
Ywhah,-0.0501385792727123,9.33832851160072,-3.96785351746097,0.00027632416957654,0.00528390873884925,-0.540236946985589
Gsta4,0.0930434340353843,8.79684273728208,3.81744022427818,0.00043565818873931,0.00747482029309577,-0.556961713431575
Casq1,-0.105892672352758,8.82354801929344,-3.83281706247036,0.00041597208187041,0.00723618100753745,-0.557165056595373
Phf20,0.076266543007321,8.36868327424802,3.6797384201223,0.00065699801124628,0.0104163292289363,-0.568629849474099
Ccnd1,-0.107286485317211,8.75480277628408,-3.80013314611972,0.00045889282236375,0.00781990829946397,-0.599568102003574
Pgk1,-0.0479261920482002,9.32600996180793,-3.93947229423852,0.00030126129176789,0.00559007063613751,-0.615936626838431
Supv3l1,-0.0681066235919602,8.69524866408105,-3.75312523950594,0.00052820160671329,0.0087840181702867,-0.685619676560515
Pcyt2,-0.147208316044992,8.74917298052734,-3.73619260624758,0.00055556001823674,0.0090368691278119,-0.781492036937042
Hmgcl,0.126404745565838,8.74368156146167,3.72139176512307,0.00058058909295181,0.00938306888931797,-0.785758580667157
Slc22a3,0.159336014555968,8.3587679338301,3.5900693875486,0.00085568563835278,0.0129126055667092,-0.78878113018203
Cyp11a1,-0.160634066664861,8.45085645585053,-3.63799055403624,0.00074324894651613,0.0114223227670118,-0.795159392491258
Hdlbp,-0.0410621834279027,9.20333857661889,-3.84522387110366,0.00040071796383093,0.00703056417235074,-0.805101835545765
Hspb6,-0.0470974529898473,9.44944998546571,-3.88264054015547,0.00035792017452917,0.00640421455139695,-0.851727780966084
Oat,0.0410514491939994,8.97505924073678,3.75030311761567,0.00053266930450505,0.0087840181702867,-0.888736898650006
Aqp1,-0.110051881106365,9.18701960991115,-3.79526619901608,0.00046563945107161,0.00788126233063773,-0.942941722319158
Diablo,-0.0859448454249865,8.68865230766405,-3.6569952873728,0.00070271415070663,0.0108660428859266,-0.952916046558603
Mgll,0.116202071049968,8.76531681128816,3.66726482685947,0.00068170443597588,0.0106729350757474,-0.955438788665679
Gstm3,0.136643142691758,8.53439395433132,3.55953621116996,0.00093565938365116,0.0137872162120362,-1.05036668174745
Pparg,0.138511553824584,8.29246768713337,3.44143831911708,0.00131782749505376,0.0178222459492149,-1.13447169868076
Tmem218,-0.108904762746908,8.49187268677839,-3.51140238398496,0.00107647147488602,0.0153213695715311,-1.18136813752771
St3gal5,-0.0503104723971226,9.02784583241085,-3.66500913778054,0.00068626673274339,0.0106776283572807,-1.18160591435613
Il33,0.141209007631652,8.53251325969307,3.50832253258324,0.00108614080913228,0.0153716538241603,-1.18474009552798
Asph,-0.0477234599422857,9.16248554746862,-3.69621697678444,0.00062567773313863,0.0100469405225146,-1.20109051981308
Cyp4f5,-0.26806112379138,7.89300937889407,-3.35430353745521,0.00169112654381138,0.0210759800609328,-1.21104356576506
Bdnf,0.104899747484448,8.38340698711348,3.43402630496038,0.00134623402437495,0.0180337766366805,-1.23973393884192
Clcn3,0.076100754174985,8.94109883355209,3.61345766481819,0.00079890850883775,0.0121288837250823,-1.24586646122873
Rfx5,0.0629154742625589,8.56860967906521,3.47735575245101,0.00118809795652514,0.0164430131552236,-1.32694624338723
Arf2,-0.0972568625261294,8.4662792366951,-3.44340637559954,0.00131038168553036,0.0178222459492149,-1.33738843093214
Nppa,0.186027958864635,9.14254476133823,3.62513671511682,0.00077192934305525,0.0117907500265452,-1.35071421965663
Rps16,0.0540233812725635,9.33447916204146,3.68080225631868,0.0006549312364911,0.0104163292289363,-1.35710113230679
Suox,-0.0720158797181923,8.70679367885783,-3.51446647001152,0.00106693347944816,0.015272390662958,-1.36036040675992
Ubac2,0.101869686736433,8.66877784398733,3.49312592914681,0.00113508149587458,0.0158919290911988,-1.36440405116883
Ndufb5,-0.046591302832632,9.32651620330835,-3.67158996241309,0.00067303804622152,0.0106035239357542,-1.38854768152944
Oxnad1,-0.0516112156239746,8.91867089249878,-3.54546538746674,0.00097488328874841,0.0142811850193847,-1.43456247248413
Glud1,-0.0422642245275448,9.07699504057064,-3.57257997557841,0.0009006540739709,0.0134293955672447,-1.47871715303454
Pnpo,-0.0738327785010543,8.78915762264927,-3.49297106395238,0.00113559094104774,0.0158919290911988,-1.48137056630199
Alox15,0.179834218420523,8.52290649928512,3.38815148804581,0.0015354918262197,0.0198268403334039,-1.49025077611838
Vezf1,0.057535692609177,8.96701225119836,3.52366548621368,0.00103878234634999,0.0149644562488004,-1.51688903874321
Pfkfb3,0.144218402888872,8.37224966921244,3.31578422732528,0.00188650540847949,0.0229402720788404,-1.52939732835485
mrpl24,-0.052045157775235,8.73889433127216,-3.45287136417917,0.00127513057048867,0.0175505608740336,-1.55044133649526
Scn1a,0.190574864595338,8.42801580260635,3.31852332220183,0.00187193135899316,0.0228906942833817,-1.56801143721888
Ctps2,0.0960567256334136,8.60533395460827,3.37319478795713,0.00160250097432052,0.0203769793942787,-1.63435522187764
Gstm1,0.0962866887506584,8.86553771458814,3.43999113594121,0.00132332844173811,0.0178222459492149,-1.66320886195242
Mgp,-0.0812794498703081,9.28721976522071,-3.56440070181999,0.0009224546848125,0.013673070919854,-1.66731427313386
Pawr,0.184840587051673,7.96006088030462,3.16390931249318,0.00288646056493598,0.0312058762271299,-1.66843835605656
Rprd2,0.0782822397505459,8.60870616462935,3.36283627318472,0.00165053316996707,0.0208817454079167,-1.66848738572558
Cd44,-0.123366028362757,8.27569005651848,-3.2370025069496,0.00235493500002697,0.027060147592053,-1.68658217919534
Ndufa6,-0.0520918223926784,9.23195230143434,-3.54228442712506,0.00098396657156599,0.0143304433824001,-1.68756121714334
Mpc1,-0.0455762299516122,9.4614031185433,-3.57547823805222,0.00089304850116706,0.013395727517506,-1.73579561177693
Cd63,0.0411637166093854,9.26684010945394,3.52344547062099,0.00103944726039572,0.0149644562488004,-1.75450585539117
Prkab1,-0.0876933008090553,8.86892421092698,-3.40597500447552,0.00145912656760382,0.0190370419367061,-1.78188518643545
Spr,-0.138403232446683,8.30742934905729,-3.20384544338156,0.00258340396393464,0.0290198517024945,-1.80292600290695
Igfbp3,0.126679791894081,8.8367416819157,3.3744714183445,0.00159667432199788,0.0203769793942787,-1.81289119461161
Pdlim1,-0.0801185937389678,8.94412673075877,-3.41488208182441,0.00142233555454776,0.0186541914352991,-1.81419591918022
Bet1,0.21400243033915,8.18079275299161,3.1360312611721,0.00311760890726751,0.0325400429696046,-1.81996627931921
