"","GSM2114177","GSM2114178","GSM2114179","GSM2114180","GSM2114181","GSM2114182","GSM2114183","GSM2114184","GSM2114185","GSM2114186"
"FUT8",5.45525087143018,5.66999118401429,5.52172078744278,5.55090456440043,5.40530367086792,5.56873255689448,5.46426859509563,5.48185677482674,5.42293994492879,5.33890662398568
"FV1",6.02861067795045,5.90152997107204,5.94987252774094,6.16227582886704,5.705092446594,5.65768523315437,5.9685374973841,6.045303644164,6.01805923017241,6.01574102475437
"FXN",4.70091169660701,4.1600760687242,4.34101509929186,4.34400883609956,4.2286829074415,4.20109641644641,4.27348646399804,4.33578528937686,4.3376102211686,4.60413841996991
"FXR2",7.58600165684094,7.37414497906435,7.38876273004856,7.51406450593948,7.51278622875545,7.36278259277542,7.4183414132173,7.57355484879951,7.38965041378371,7.46676860692859
"FXYD1",5.7273361688037,5.97359726825332,6.38564824439737,5.96830581713273,6.21182061829677,6.86575887535466,6.69526419870014,6.23413413813327,6.58872452051261,6.83254488181263
"FXYD5",4.26277055264558,3.88117923843258,4.22165305629603,3.81222284046353,4.2286829074415,4.18557204587137,4.46918298983716,4.02353459153145,4.40171165095222,4.59376158096827
"FXYD6",2.34649719362119,2.34079752108798,2.00988063529722,2.57377424750988,1.33786943108304,2.07693998936679,2.4037067193115,2.0287533258269,1.90857929654485,1.71727911083861
"FXYD7",8.52465015101079,7.92390953197182,8.03836211858635,8.02357154879972,8.31978891071537,7.74990103609909,7.69171452363028,8.32271159345569,8.81531333009537,8.49965720810879
"FYCO1",4.6775897024101,4.90516104007928,4.86017463009177,4.7806178819975,4.90374970740232,5.42408975958563,5.10449765898401,4.89826795270376,5.0601199065086,4.72949906223166
"FYN",7.71855417483939,7.83964045778771,7.69714422290346,7.61528766278022,7.78845384632709,7.71247604697042,7.68208820605406,7.68886797743378,7.78168818186314,7.65486980894998
"FYTTD1",6.29441588207346,6.42296925352093,6.25909115752913,6.2225240762503,6.46799952200101,6.35140449876512,6.06701505790588,6.24663265794071,6.19962458687063,6.25513524491407
"FZD10",4.28351663658747,4.1600760687242,4.54011600708043,4.47856404922627,4.08154632107481,4.36626936982481,4.48081706535047,4.26873792844642,4.57424304391058,4.35249638354776
"FZD2",4.00616525685695,3.82487008226902,4.41708160230324,4.07005537563277,4.18498712438803,4.31010728285871,4.85916231233345,4.42646516746874,4.27052768538978,4.31086841097539
"FZD3",4.07323202745712,4.45857581317002,4.26620838815057,4.26599815693046,4.12843789177344,4.29571837433462,4.24647902768135,4.04086100552392,4.14937514617466,3.48414428270201
"FZD6",2.13447569570926,2.31766562032904,2.47601828513827,2.61031265998542,3.29263705888406,2.46767707405791,2.21227180013219,2.44783801912623,2.57165427343673,2.61710135289145
"FZD9",5.2439273936923,4.80891081823458,4.89605911408888,4.99613898936329,5.09885473928527,4.91983876241931,5.12935004578811,5.41477277897946,4.85701788755856,5.09095038649825
"FZR1",6.49674387318672,6.05627836639526,6.45224261082445,6.45374626848844,6.16479405678957,6.22421735984481,6.40391068567858,6.49836058180162,6.50477454550289,6.3226687690437
"G0S2",3.86188516845075,3.89687198760996,4.07908356955727,3.93253407671788,4.06958135553096,3.94247722404032,3.97205888247673,4.20355992481346,4.07269073268768,4.20121925647198
"G2E3",1.77299612156412,2.00659519347932,1.75238737860716,1.60982365767847,2.25250102905734,2.16401255513018,1.65056999700901,1.63136089208321,1.53925842596701,1.55559237153302
"G3BP1",7.30829638780159,7.38809178673259,7.14512571974447,7.35628954226902,7.40025871402951,7.29507381332056,7.43687616333372,7.23143279408581,7.34645516098212,7.15306125540864
"G3BP2",7.22159130705257,7.16163032285467,7.07719684158887,6.94706068852943,7.11315901841529,7.22149499681042,7.11227275003553,6.98817061900589,7.03282369059905,6.94089917362611
"G4",4.64188420315521,4.68333074816503,4.53101550533083,4.88122913929947,4.80617537852445,4.53910082077908,4.60295790877718,4.7125320821537,4.62470208628049,4.65160058806427
"G6PC3",6.6211483683186,6.25809384517366,6.45825605678785,6.42069551314515,6.22266642449538,6.19866634033554,6.36572608653398,6.42217441599735,6.44049784691502,6.5861232913326
"GAA",8.84515247307061,8.56522020638677,8.85860889039439,8.66227499284983,8.78018262785207,8.7019899205409,8.95197783941737,8.95848572198795,8.80987187095758,8.87961502687302
"GAB1",5.88157734299999,6.38174146753919,6.49499016800077,6.5055864021359,6.28090330264002,6.644217936228,6.36886006495372,5.91825007929964,6.5281587026715,6.32476176619276
"GAB2",4.02476755882721,4.06604282048515,3.76658307044894,4.00293271543728,3.31307874562229,4.22660481196198,4.05222329498253,3.81779859445843,3.95272933705496,3.82897261090304
