"","GSM3574340","GSM3574341","GSM3574342","GSM3574343","GSM3574344","GSM3574345","GSM3574346","GSM3574347","GSM3574348","GSM3574349","GSM3574350","GSM3574351","GSM3574352","GSM3574353","GSM3574354","GSM3574355"
"ACSL6",5.0733453063744,4.88090616355822,5.52627070678043,5.14802267844498,4.77590699901598,4.68241875664654,4.62302286450229,5.23175149238191,4.45583318244603,4.75639940542678,4.92502699770731,5.06443754404037,4.72940249512371,4.55356131244165,4.64261655570437,4.37589566694497
"ACTA1",7.80059805832701,7.46424119007122,5.34049910842822,6.22657313182503,6.61964643458284,9.23916786216771,6.85187291758291,5.84209072084359,8.74818236716912,6.11507986178293,3.62242841393028,4.4707374675868,2.92015025247162,4.07061538021943,6.02094845392674,5.60615108746161
"ACTA2",5.40928527724297,5.40270356891772,3.85494820748337,4.76216932078444,4.68788068598034,6.24755009854987,5.33522179539661,4.55384320020901,6.27211339779497,5.08605571011647,3.65453735137044,3.64811140304975,3.35103666102632,3.93230754292271,4.73870882422733,4.70436980439276
"ACTB",7.8655441686701,7.85327448554868,6.67737683500984,7.52551137375609,7.16613215114852,8.9728451705862,8.04946090023456,6.7905756699337,8.75985214773312,7.19379180658954,5.97912999088767,5.61003035748626,6.11459964453571,6.12636521917176,7.0244850356853,6.76888214021265
"ACTC1",12.7613200335306,12.8021560407444,11.9146221678336,12.356827213274,12.0729369380796,13.2523701736615,12.4831727962739,12.0147791746728,12.7851209538803,12.2064996221351,10.6925172018629,10.5861950012406,10.8867106611321,11.1844667201934,11.6578429445397,11.79932880727
"ACTN2",9.7467834118174,9.85365858562098,9.15133692761471,9.31447994247168,9.31535070217061,10.5443349162192,9.74028359769689,9.2202407974915,10.5097292416089,9.62833058185707,8.23942234309223,8.1437766080319,8.63326961862039,8.87253450952274,9.75352175900428,9.63349729810121
"ACTN4",5.75810190900351,5.81349376276302,4.69239139551323,5.12294881730578,5.32022232197633,7.32018434641382,6.03517899759116,5.18737300246918,7.26453112395864,5.3878419580284,3.98851412852976,4.11374866919926,4.37603082839941,4.60373221122533,5.40490199937076,5.76139237569335
"ACVR1",5.07782116008903,4.86325656945569,4.73180488815249,4.83970456910303,5.04914255743049,4.98786214255234,5.14532745822593,4.97395726422772,4.94561605782186,4.91844421023285,4.78661291645832,5.18136018708494,4.91972194671827,4.69213496474684,5.09018896088371,4.83721294950648
"ACVR1B",3.23932364478519,3.59479857646771,3.18344281910085,3.31011079055568,3.27981960657115,4.30560310387216,3.49083021909053,3.60996909450146,4.22623361343005,3.54958789969462,3.29605472357932,3.47032672400887,3.2274930012767,3.49846235590473,3.90076238901603,3.45818377619679
"ACVR2A",5.14476700608251,5.04787576559128,5.94953271291537,5.17925354132412,5.91603485386954,4.59036767029811,5.12909201400398,5.78781305921377,4.46161010198751,5.70679522153916,6.6188765972189,6.82520308292935,6.44252670966646,6.35587982529451,5.59749457336638,5.51187732675599
"ACVRL1",4.86815507680049,4.85028350912423,4.18145957310395,4.82887997964737,4.75636770599806,5.83509839463597,4.86910167854883,4.33233805417305,5.9254180477746,4.57989184396593,4.22550545782323,3.92148549980725,4.19892527154859,4.37141453888147,4.80402436861495,4.29606952620123
"ADAM10",6.77546504730471,6.6975014521718,7.5037306934791,6.70755042427088,7.33681085844473,6.32710180052009,6.49711281294369,7.35399653024186,6.13965277325404,7.2216144369302,7.72821617900841,7.88016343136398,7.65945339308846,7.57599606216959,7.10331372581478,7.03787445598574
"ADAM17",6.34217042770236,6.27439218223222,6.63201583722587,6.62704743665005,6.48791968965734,5.6493308267278,5.98635533533409,6.28964735625753,5.36247580188507,6.03009261467523,6.62295033764345,6.82387135860347,6.4773586163702,6.28292754808429,5.46855381807493,5.89043590070276
"ADAM1A",4.44444972465995,4.46200314242192,4.28092325791134,3.68133747457697,4.51609979428818,5.22199711921487,4.37884809116631,4.48921681742153,5.24710270108161,4.56827074459273,4.31327375798984,4.20020870066358,4.18272196212725,4.19540217228876,4.41134720421829,4.51747874664634
"ADAR",5.50084845982144,5.37330472243689,4.67210235397519,4.71591774065705,5.08874243066533,5.95250279694109,5.58691183470421,4.85995279368953,5.91597895878196,5.03052885064016,4.23972666578902,3.52239298624642,4.30821695192362,4.31196506817659,5.07646225283095,5.5030160965109
"ADARB1",3.77105103230322,4.13558333662928,3.77707429681925,3.76535262280988,3.77852977907257,4.77412208749881,4.23373770262784,3.89062338741094,4.95281599624057,4.22456692513732,4.1371242687815,3.94127393973012,3.91167508318114,3.99034746750731,4.10741913979815,4.52340644397682
"ADCY3",1.69712953097203,2.02210390453443,1.52334324050431,2.19594043500011,2.12154530130664,2.891807375943,2.16985700018662,1.7780913305556,3.2476810490027,2.41835173741602,1.92377119327058,2.02233248403708,1.87083631074294,1.75201566302715,2.1256230071735,3.1743276816632
"ADCY4",3.31551053337015,3.46762697149545,2.69735511887503,3.00114650577402,2.90584321486789,4.67136716409984,3.83098756678309,2.49531246321048,4.5291868557326,3.04489235008745,2.08930444900642,1.48898574740152,1.76654937540846,2.20564838357838,3.27948668331535,3.38190778475002
"ADCY5",5.91269197521447,6.1796899513743,5.05416614650715,5.27008133864026,5.45153733889412,7.2634302623514,6.08343988300777,5.16610476417437,7.26978191979013,5.64445345623313,4.47425995658243,4.17648083680568,4.32054671210695,4.85372613040448,5.68150328705034,5.83502347489042
"ADCY6",5.92029907126529,6.19900768992007,5.33136199876514,5.67023040808285,5.64060064479728,6.85090297489027,6.36074356836966,5.38594124264704,6.98716323159734,5.76286641314141,4.93379813835301,4.40074998832313,4.92392510092824,5.49670660550388,5.87171569997893,6.36228974241344
"ADCYAP1R1",3.03195321713992,3.37586602288345,2.89463005612769,3.32380521290099,2.96832108240929,3.23561656002633,3.09986541004986,2.38422367620035,3.2323559373091,2.54701873454295,2.56630707642164,2.49358689874486,2.35127429823655,2.88715677059369,3.37976320100521,3.12896984915673
"ADD1",6.57897390848269,6.57421707128097,6.41459207292239,6.58544623023114,6.5322513291295,6.8996383808209,6.6200389462113,6.33941710790164,6.8905260064088,6.4963756270059,6.02705444487399,6.03750987372438,6.18372203049259,6.20745090623017,6.50178821284568,6.48373217236874
"ADD3",6.50888705791138,6.51019476627017,6.618121889115,6.3935650802779,6.77490885692061,6.48313217652852,6.72947109458651,6.76546435690181,6.46419507447959,6.81513412306838,6.89860102116253,7.02733538691598,6.98211457179608,6.78821149621718,6.6442905769046,6.58377467249562
"ADH4",5.49642746565332,5.47088226677117,5.5381651782763,5.70023407012604,5.34439313585623,5.38110594854134,5.25199019860845,5.59106355525859,5.50105204021036,5.53103326719577,5.63097701120826,5.74562717619304,5.64121715674713,5.62414479258876,5.71732576509257,5.57242722988519
"ADIPOR2",4.68078792134622,4.78701639859209,4.80883369927186,4.35197911195275,4.65870707705898,4.46413516062187,4.63292625474209,4.3493385184168,4.6792715803897,4.93432275613465,4.61725428117311,4.42155593921488,4.35091783278818,4.91494642089497,4.75028256042505,4.67311107287895
"ADK",6.26052591105785,6.63126175348954,6.23327951445376,6.18868299727487,5.98481625768918,5.97335168266144,6.36470791149181,6.12541047699128,5.8613090295208,6.07447136326445,5.79882306087218,6.05350578437291,6.18372169302775,6.5697923903369,5.9063585949918,6.23887801928762
"ADPRH",3.37005448737572,3.550168899814,3.24245992812954,3.57442606385227,3.16490817296603,3.87816345189585,3.58792550962724,3.03658560716977,3.88880340020292,3.1628020256007,2.95897061283303,2.98795360390408,2.98337386907621,3.02929049376299,2.78962024528065,3.08214167435087
"ADRA1B",3.47332040701654,3.69506988752854,2.95481587470311,3.12134801961403,3.26785756826631,5.35410849146887,3.93604414578863,3.24170313998183,4.88134643052758,3.52346526869561,2.08930444900642,2.46653127792954,2.35127428814459,2.53520005383775,3.60681616203456,4.00112793580541
"AEBP1",3.81102890192591,3.87236817334621,2.76615417136939,3.41348113898707,3.36910257225608,5.60238975611209,4.48768155865669,2.85804439108898,5.63972857066675,3.30637502797185,2.2383652484173,1.68948284723994,2.27729871780502,2.50011549842543,3.45241494981448,3.81318728859442
"AFDN",5.34865846911236,5.44084849314966,5.4860472161506,4.86773863674289,5.7736227931278,5.63802183159504,5.24769985909119,5.4084214671809,5.53334923192091,5.37805412952991,5.25403083059906,5.14769422714516,5.40396760378145,5.57216621343346,5.68150328705034,5.24053320991474
"AFTPH",4.83856872609203,4.77676826715166,5.20303807316949,4.6467205979722,5.10891266474013,4.48826690712451,4.54824318009844,4.91237230379631,4.56182414302904,4.89429382494912,5.39409956467522,5.5597175383516,5.24810322720534,5.05449337772112,5.07646225283095,5.48512866464355
"AGGF1",3.77473150873899,3.94433609465413,3.87377576744539,3.9908872880226,3.94657982429253,3.8252989883706,3.90913066376872,4.10097713666866,3.86284477707532,3.92098046177373,4.18198897231189,4.13412746640032,4.12352551406696,4.12886013741825,3.62578737851404,3.45724088984253
"AGRN",5.89335470810868,5.78219010434762,5.10019635043347,5.6898063468722,5.66987056786479,7.09817718884724,6.13196695654502,5.24770683053738,7.06312646017264,5.53207711714507,4.80585324765541,4.58140609353796,4.8190337384877,5.14812318869532,5.68753581093213,5.95033474102372
"AGTPBP1",7.43333523414021,7.45082318087946,7.9656740301553,7.70417867215245,7.76483498965209,7.17099667188537,7.5224026837236,7.96047667759125,6.98555770636572,7.66772830426053,7.8726406920074,8.1430022924564,8.10880974124076,8.10946619478038,7.82972477878633,7.76460623292876
"AGTR1A",1.82337271762912,1.99821511966103,2.54905586514669,2.11797461087483,2.19629565305114,1.6790816073153,2.16985700018662,1.8984813555982,1.52721891317508,1.86167306374828,3.18152046485579,2.90976998783936,2.9677803469151,2.8317945440429,2.42098851958121,2.5045451503859
"AHCY",3.83942330753332,3.84319969256503,3.34497489478944,3.83733064333381,3.5838643315101,4.38786951415835,4.00375637093971,3.58091348170609,4.58450348972693,3.77695737147409,4.04296849828953,3.85001429320061,3.2643397492342,3.90574333700109,4.13857885634489,4.31644394868759
"AHNAK",9.17864960715506,9.38621988603952,9.64113664581522,9.20925745837464,9.70142388565873,9.54256623939362,9.4979341488634,9.73524915996927,9.87550600946497,9.84808600932931,9.76511458341451,9.74413220979976,9.67303059026309,10.0692867004004,10.309757307646,10.1997734814805
"AHR",4.45397070251353,4.226240894052,4.8218202661725,4.42387619518253,4.9901386183162,4.42387459925309,4.08295483937902,4.91808084199454,4.11824155092646,4.84138078495495,5.45934378985174,5.87983409297083,5.40974972728974,4.95759931733196,4.83696325049332,4.52340644397682
"AIF1",4.08745157947331,3.91036325752582,4.25511500085131,4.88351503764374,3.77464940351845,3.48249140178845,4.31799910131233,3.92505028686613,3.68907727585232,3.78398602768086,4.28841795433486,3.52239062178804,4.38066251549118,3.88549486736977,4.00002455613772,3.38190748128774
"AIF1L",3.81017554841133,3.9926327750468,4.22161969553236,4.25682283119734,4.00876592484317,4.15204965778667,3.90784785436127,4.54925613290828,3.85798643006473,4.39669154572663,4.31682566805258,3.78981319932926,3.87426702749931,3.96043857697933,3.95818458743532,4.15743353154161
"AIFM1",7.27441052735173,7.36592144770959,7.67899765431682,7.52107992701584,7.22716955205069,6.60836343868142,7.08372130224914,7.32689490845245,6.5206287066042,7.1256465364545,6.9610765241355,7.11378278769823,7.16331413713804,7.23488825485062,6.90012388624573,6.99743494134234
"AIFM2",3.08592949606591,3.34350938869802,2.61021668058462,3.18214953764324,3.07942718265445,3.54679610160658,3.46025315915783,2.77240104576991,3.67422868598711,2.96056730366398,2.44882918291797,2.16378706769293,2.76619297875676,2.74454782448319,3.01743066652874,2.5045451503859
"AIMP2",3.96715319209702,4.08110162618305,3.30853213522121,3.92380185423839,3.59710613484865,4.37838630614974,3.79615498028321,2.98312746120513,4.10906863677564,3.65193453944065,2.3990213276421,1.7801647403167,2.59405759156734,2.78883061246854,3.70524076187762,3.08214167435087
